cbsa,year,hsupwgtk,age,metro,pct_broadband,female,married,se,branch,educ_cat,inc_quint,race_black,race_hispanic
12220,2019,2.8110378,54,1,86,0,1,0,1,1,2,0,0
41860,2019,0,32,1,94.099998,0,0,0,0,4,5,0,1
26620,2023,3.3811402,50,1,91,1,0,0,1,4,4,0,0
30780,2015,0,29,1,88.5,0,0,1,0,2,1,1,0
30780,2019,0,50,1,88.5,0,1,1,0,4,5,0,0
41860,2013,5.2648368,44,1,94.099998,0,1,0,1,4,5,0,0
23580,2021,6.4301968,41,1,93.199997,0,1,0,1,4,5,0,0
35620,2015,0,48,1,90.900002,0,0,0,0,3,5,0,0
35620,2019,0,59,1,90.900002,0,0,0,0,3,4,0,0
35620,2019,0,50,1,90.900002,1,1,0,0,4,5,0,0
49340,2017,3.093482,59,1,92,1,1,0,1,2,5,0,0
30780,2015,0,37,1,88.5,0,1,0,0,3,5,0,0
49340,2015,3.5371523,37,1,92,0,1,0,1,3,5,0,0
14260,2017,1.2283279,25,1,93.800003,1,1,0,0,2,2,0,0
14260,2019,1.000158,32,1,93.800003,1,0,0,1,4,5,0,0
16740,2013,3.7197173,53,1,91.699997,1,0,0,1,4,5,0,0
31080,2013,0,27,1,92.400002,0,0,0,0,4,3,0,0
32820,2015,0,41,1,87.300003,1,1,0,0,2,5,0,0
30780,2015,2.3302765,35,1,88.5,1,0,0,1,4,4,1,0
30780,2017,1.7527102,39,1,88.5,1,1,0,1,4,5,1,0
41700,2015,5.5266171,36,1,90.599998,0,1,0,0,1,1,0,1
29200,2021,4.8390803,51,1,88.599998,0,1,0,1,4,5,0,0
26420,2017,4.9060488,55,1,91.800003,0,1,0,1,4,5,0,0
33700,2015,0,31,1,91.099998,0,0,0,0,3,5,0,0
41740,2013,5.4220381,36,1,94.300003,0,0,0,1,4,5,0,1
33700,2013,4.326426,51,1,91.099998,1,0,0,1,2,3,0,1
24540,2015,4.6576233,26,1,92,1,0,0,1,4,2,0,1
41860,2015,4.6993294,64,1,94.099998,0,1,0,0,2,4,0,1
19300,2023,4.0230823,40,1,89.900002,1,1,0,1,3,5,0,0
19740,2023,8.6070957,45,1,93.900002,0,0,1,1,4,1,0,0
35980,2015,0,50,1,90.699997,1,1,0,0,3,5,0,0
35840,2015,0,59,1,91.5,0,1,0,0,3,3,0,0
48700,2017,0,35,1,87.099998,1,0,0,0,4,4,0,0
24340,2019,5.9115143,44,1,90.400002,0,1,0,1,4,5,0,0
24340,2019,4.7316389,45,1,90.400002,0,1,0,1,4,5,0,0
24340,2021,5.8132868,42,1,90.400002,1,0,0,0,4,3,0,0
23420,2015,5.1289077,32,1,87.699997,1,0,0,1,3,2,0,0
41860,2019,0,32,1,94.099998,0,0,1,0,4,5,0,0
