cbsa,year,peducgrp,praceeth3,age_cat,prob_se,prob_mobile,n
10180,2015,2,6,30-44,0,1,1
10180,2015,3,2,30-44,0,0,1
10180,2015,1,2,45-64,1,0,1
10180,2015,1,6,45-64,0,0,1
10180,2015,2,6,45-64,0,,1
10180,2017,3,6,18-29,0,1,1
10180,2017,4,6,30-44,0,1,1
10180,2017,1,6,45-64,0,0,2
10180,2017,2,6,45-64,0,0,1
10180,2021,3,6,30-44,0,,1
10180,2023,2,1,30-44,0,,1
10180,2023,3,6,30-44,0,,1
10180,2023,3,6,45-64,0,,1
10420,2013,2,1,18-29,0,,1
10420,2013,2,6,18-29,0,0,1
10420,2013,3,6,18-29,0,.55979174,4
10420,2013,4,6,18-29,0,0,1
10420,2013,2,6,30-44,0,0,3
10420,2013,3,6,30-44,0,0,2
10420,2013,4,1,30-44,0,0,1
10420,2013,4,6,30-44,0,.22877389,4
10420,2013,2,6,45-64,.13635018,.42569223,7
10420,2013,3,6,45-64,0,0,3
10420,2013,4,6,45-64,0,0,3
10420,2015,2,6,18-29,0,0,1
10420,2015,4,6,18-29,0,.65023017,3
10420,2015,2,6,30-44,.25000548,.25000548,4
10420,2015,3,6,30-44,.1400827,.42488539,7
10420,2015,4,6,30-44,0,1,2
10420,2015,1,1,45-64,1,0,1
10420,2015,2,1,45-64,0,.46967158,2
10420,2015,2,6,45-64,0,.33867189,3
10420,2015,3,6,45-64,0,.341068,3
10420,2015,4,6,45-64,0,.43383753,7
10420,2017,3,6,18-29,1,1,1
10420,2017,4,6,18-29,0,0,1
10420,2017,2,2,30-44,0,,1
10420,2017,2,6,30-44,0,.44363591,5
10420,2017,3,1,30-44,0,1,1
10420,2017,3,6,30-44,0,1,2
10420,2017,4,6,30-44,0,1,3
10420,2017,2,1,45-64,0,0,2
10420,2017,2,6,45-64,.18787447,.3857367,5
10420,2017,3,1,45-64,0,1,1
10420,2017,3,6,45-64,0,.21757495,5
10420,2017,4,1,45-64,0,1,1
10420,2017,4,6,45-64,0,.74203455,4
10420,2019,2,6,18-29,0,,1
10420,2019,3,6,18-29,0,,1
10420,2019,4,3,18-29,0,,1
10420,2019,4,6,18-29,0,,1
10420,2019,2,6,30-44,0,,1
10420,2019,3,6,30-44,0,,3
10420,2019,4,1,30-44,0,,1
10420,2019,4,6,30-44,.1686243,,6
10420,2019,2,1,45-64,0,,1
10420,2019,2,6,45-64,0,,4
10420,2019,3,6,45-64,0,,2
10420,2019,4,3,45-64,0,,1
10420,2019,4,6,45-64,.32327515,,6
10420,2021,2,6,18-29,0,,2
10420,2021,3,6,18-29,0,,3
10420,2021,4,6,18-29,0,,1
10420,2021,2,3,30-44,0,,1
10420,2021,2,6,30-44,0,,4
10420,2021,3,6,30-44,0,,1
10420,2021,4,1,30-44,0,,1
10420,2021,4,6,30-44,0,,5
10420,2021,2,1,45-64,0,,1
10420,2021,2,6,45-64,0,,2
10420,2021,3,2,45-64,0,,1
10420,2021,4,6,45-64,0,,4
10420,2023,1,6,18-29,0,,2
10420,2023,2,6,18-29,0,,1
10420,2023,3,6,18-29,0,,2
10420,2023,4,6,18-29,0,,5
10420,2023,2,6,30-44,0,,3
10420,2023,3,1,30-44,0,,1
10420,2023,3,6,30-44,0,,3
10420,2023,4,6,30-44,.28579652,,4
10420,2023,2,6,45-64,0,,1
10420,2023,2,7,45-64,0,,1
10420,2023,3,1,45-64,0,,1
10420,2023,3,6,45-64,0,,3
10420,2023,4,6,45-64,.18115352,,6
10500,2013,1,1,18-29,0,1,1
10500,2013,3,1,18-29,0,1,2
10500,2013,4,1,18-29,0,0,1
10500,2013,1,1,30-44,0,0,2
10500,2013,1,6,30-44,0,0,1
10500,2013,2,1,30-44,0,0,2
10500,2013,2,6,30-44,0,0,2
10500,2013,3,1,30-44,0,.77338856,4
10500,2013,4,1,30-44,.59602857,1,2
10500,2013,4,6,30-44,0,1,1
10500,2013,2,1,45-64,0,,1
10500,2013,3,1,45-64,0,0,2
10500,2013,4,1,45-64,0,1,1
10540,2015,1,6,30-44,1,0,1
10540,2015,2,2,45-64,0,,1
10540,2015,2,6,45-64,0,0,1
10580,2013,3,1,18-29,0,1,1
10580,2013,3,6,18-29,0,0,2
10580,2013,4,3,18-29,0,0,1
10580,2013,4,6,18-29,0,.40661952,5
10580,2013,1,6,30-44,0,0,1
10580,2013,2,1,30-44,0,1,1
10580,2013,2,7,30-44,0,0,1
10580,2013,3,2,30-44,0,0,1
10580,2013,3,6,30-44,.1552432,.60075223,7
10580,2013,4,2,30-44,0,1,1
10580,2013,4,6,30-44,.18426132,.63350314,6
10580,2013,2,1,45-64,0,0,1
10580,2013,2,6,45-64,.19587287,.24489863,5
10580,2013,3,6,45-64,.16471188,.33845115,6
10580,2013,4,1,45-64,0,0,1
10580,2013,4,6,45-64,0,1,2
10580,2015,2,6,18-29,0,0,1
10580,2015,2,6,30-44,0,.51775932,3
10580,2015,3,6,30-44,0,1,1
10580,2015,4,6,30-44,0,.52929711,5
10580,2015,1,6,45-64,0,0,1
10580,2015,2,2,45-64,0,1,1
