cbsa,year,peducgrp,age_cat,prob_unbanked_wage,prob_unbanked_se,prob_unbanked_notwork,prob_mobile_wage,prob_mobile_se,prob_mobile_notwork,prob_branch_wage,prob_branch_se,prob_branch_notwork,pct_broadband,female,married,has_children,n
10740,2017,4,3,0,0,0,.092976883,0,0,.75323939,.15378369,0,87.800003,.63897032,.46188566,.25037962,43
10740,2019,4,3,0,0,0,.028662572,.033770192,0,.6501053,.28746197,.0238958,87.800003,.51045287,.56708461,.20891942,36
12060,2013,3,2,.13357374,0,.02626152,.026459182,0,0,.77689356,.063073546,.11473866,92.800003,.56805545,.4021104,.52970755,35
12060,2013,4,2,.039003685,0,.018245626,.088778034,0,0,.83135778,.040860493,0,92.800003,.44422817,.61394429,.47687304,45
12060,2013,3,3,.04640251,0,.04640251,.032143854,0,0,.77101612,.15043753,.05019629,92.800003,.43137935,.52463228,.23188038,36
12060,2013,4,3,.040855799,0,0,.081484184,0,0,.76700169,.11065831,.01834666,92.800003,.51243609,.45136964,.41222101,50
12060,2015,4,2,0,0,0,.10294455,0,0,.80498385,.0920716,0,92.800003,.52992594,.61890173,.55894703,33
12060,2015,4,3,.023142742,0,0,.070152484,0,.027106121,.8097142,.096990556,.032749228,92.800003,.49767387,.62635666,.33481079,38
12060,2017,4,2,.029994939,0,0,.35205507,.035850264,0,.53476393,.047335815,0,92.800003,.43106613,.40140867,.36598513,52
12060,2017,4,3,0,0,0,.27751082,.02244537,0,.54960912,.15043467,0,92.800003,.39973184,.69624811,.18089582,47
12060,2019,4,2,0,0,0,.028981149,0,.028981149,.97101885,0,0,92.800003,.50436175,.56373239,.47761279,39
12060,2019,4,3,0,0,0,.059931293,.027789282,0,.72456092,.18771853,.030566871,92.800003,.52980256,.59974349,.41251245,38
12060,2021,4,2,0,0,0,.242219,0,0,.7042799,.053501114,0,92.800003,.56481981,.43762067,.34011886,36
12060,2021,4,3,0,0,0,.29099676,0,0,.52145445,.18754876,0,92.800003,.34081718,.63505858,.41585085,32
12580,2013,4,2,0,0,0,.13527662,0,0,.81323296,.05149043,0,90.699997,.53750414,.57688028,.56418312,37
12580,2013,2,3,.034958091,0,0,.029778207,.040749833,0,.80062276,.093891084,0,90.699997,.4061484,.76629829,.13738729,30
12580,2013,3,3,.070984848,0,.040753044,.10175076,0,0,.82726437,0,.066397205,90.699997,.36320323,.42140096,.16073221,33
12580,2013,4,3,0,0,0,.036739007,.016245149,0,.85304976,.093966112,.015825929,90.699997,.44828925,.55523342,.30380201,55
14460,2013,4,2,0,0,0,.022298889,.01903248,0,.92721492,.03145371,.050337024,92.900002,.52427143,.60384202,.53920823,77
14460,2013,2,3,.07332918,0,0,0,0,0,.83072042,.09595041,.041722655,92.900002,.48863491,.56938517,.27400705,44
