"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","se_rate_baseline","se_rate_cf","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Cancellation",10000,1,1,-5983.04416073673,12002.9296829614,11990.7380957744,9.29888246286644,0.2812,0.30734845748558,-0.13464280927998,2,3,5,2
"Cancellation",10000,1,2,-5931.34286175057,11945.5787868489,11918.1477156782,-0.0440224172773914,0.2812,0.281076208962616,0.00400286747837652,2,3,5,2
"Cancellation",10000,1,3,-5928.12175534399,11985.1882758956,11942.5177207412,0.496851458457596,0.2812,0.282597146301183,0.0204743525120974,2,3,5,2
"Cancellation",10000,1,4,-5929.55312486606,12034.1027167997,11976.1926776615,1.38532658548258,0.2812,0.285095538358377,-0.0110442896261861,2,3,5,2
"Cancellation",10000,1,5,-5932.82654139917,12086.7012517258,12013.5517286039,-0.321296921302486,0.2812,0.280296513057297,0.0142193378432587,2,3,5,2
"Cancellation",10000,2,1,-5976.79231595914,11990.4259934062,11978.2344062192,-1.67937657488854,0.286,0.281196982995819,0.0616401451255685,1,4,5,1
"Cancellation",10000,2,2,-5976.9899087636,12036.872880875,12009.4418097043,-1.13526049210092,0.286,0.282753154992591,0.0383464550666638,1,4,5,1
"Cancellation",10000,2,3,-5985.91384779694,12100.7724608016,12058.1019056471,-3.69554756828518,0.286,0.275430733954704,0.0178123730213636,1,4,5,1
"Cancellation",10000,2,4,-5984.98027046537,12144.9570079983,12087.0469688602,-4.66622578322897,0.286,0.272654594259965,0.0301122509149234,1,4,5,1
"Cancellation",10000,2,5,-5982.27289277298,12185.5939544734,12112.4444313515,0.805652354804027,0.286,0.288304165734739,0.00574521793768518,1,4,5,1
"Cancellation",10000,3,1,-6012.57318627641,12061.9877340407,12049.7961468537,3.13544951746123,0.2888,0.297855178206428,-0.0272433173496823,1,3,5,1
"Cancellation",10000,3,2,-6009.04933058664,12100.9917245211,12073.5606533504,1.01522723054863,0.2888,0.291731976241824,0.0114611901361214,1,3,5,1
"Cancellation",10000,3,3,-6005.24884596109,12139.4424571299,12096.7719019754,0.0516914131579986,0.2888,0.2889492848012,0.0380182932129904,1,3,5,1
"Cancellation",10000,3,4,-6004.12264109143,12183.2417492504,12125.3317101123,0.285226342181081,0.2888,0.289623733676219,0.00628080209578911,1,3,5,1
"Cancellation",10000,3,5,-6005.82391987652,12232.6960086805,12159.5464855586,-1.32917137753767,0.2888,0.284961353061671,0.0240437325275301,1,3,5,1
"Cancellation",10000,4,1,-5996.27301928462,12029.3874000571,12017.1958128702,3.01068922770246,0.2869,0.295537667394278,-0.0276993317089397,1,3,5,1
"Cancellation",10000,4,2,-5994.89208041184,12072.6772241715,12045.2461530008,2.40613442683157,0.2869,0.29380319967058,0.0208298043452795,1,3,5,1
"Cancellation",10000,4,3,-5997.96345335037,12124.8716719084,12082.201116754,0.623111990369565,0.2869,0.28868770830037,0.00545540847950442,1,3,5,1
"Cancellation",10000,4,4,-5993.58572403126,12162.1679151301,12104.2578759919,-0.895437074945929,0.2869,0.28433099103198,0.0350923541279341,1,3,5,1
"Cancellation",10000,4,5,-5991.38661580405,12203.8214005355,12130.6718774137,-1.0471563157654,0.2869,0.283895708530069,0.0215982320879738,1,3,5,1
"Cancellation",10000,5,1,-5944.85791145341,11926.5571843947,11914.3655972078,3.38497844773925,0.2829,0.292476104028654,-0.0375589947429596,1,4,3,1
"Cancellation",10000,5,2,-5971.06902126273,12025.0311058732,11997.6000347025,1.80799509247901,0.2829,0.288014818116623,-0.00621483714449663,1,4,3,1
"Cancellation",10000,5,3,-5957.41226930341,12043.7693038145,12001.0987486601,-0.356052011414587,0.2829,0.281892728859708,0.00912645848756044,1,4,3,1
"Cancellation",10000,5,4,-5945.79843921925,12066.5933455061,12008.6833063679,-0.343441288227665,0.2829,0.281928404595604,0.0264056878195804,1,4,3,1
"Cancellation",10000,5,5,-5947.04446605861,12115.1371010446,12041.9875779228,1.85825850606956,0.2829,0.288157013313671,0.0167103716837872,1,4,3,1
"Cancellation",10000,6,1,-5936.42779867646,11909.6969588408,11897.5053716539,4.9646398345413,0.28,0.293900991536716,-0.0705769654313053,1,5,4,1
"Cancellation",10000,6,2,-5930.86976367085,11944.6325906895,11917.2015195188,2.66301467090639,0.28,0.287456441078538,-0.0220487863705981,1,5,4,1
"Cancellation",10000,6,3,-5923.14529335924,11975.2353519262,11932.5647967717,-2.83090420082675,0.28,0.272073468237685,0.0492214003423616,1,5,4,1
"Cancellation",10000,6,4,-5926.73564029329,12028.4677476541,11970.557708516,-5.26222650120228,0.28,0.265265765796634,0.0142306875745194,1,5,4,1
"Cancellation",10000,6,5,-5936.16633266962,12093.3808342667,12020.2313111448,2.0661375931095,0.28,0.285785185260707,-0.00496161608976172,1,5,4,1
"Cancellation",10000,7,1,-6022.81232315991,12082.4660078077,12070.2744206207,1.64134892145273,0.2912,0.29597960805927,-0.0142957360462547,1,3,3,3
"Cancellation",10000,7,2,-6033.16104033539,12149.2151440186,12121.7840728479,0.160351493396091,0.2912,0.291666943548769,0.0150927339980909,1,3,3,3
"Cancellation",10000,7,3,-6025.44834545544,12179.8414561186,12137.1709009641,1.89501791484902,0.2912,0.29671829216804,-0.00763979333109345,1,3,3,3
"Cancellation",10000,7,4,-6024.1920382235,12223.3805435145,12165.4705043764,-0.0693828759936692,0.2912,0.290997957065106,0.0216181676917432,1,3,3,3
"Cancellation",10000,7,5,-6025.61969406927,12272.287557066,12199.1380339441,-0.0217766263335108,0.2912,0.291136586464117,0.00403699409143498,1,3,3,3
"Cancellation",10000,8,1,-5926.35182515437,11889.5450117966,11877.3534246097,2.23262073399078,0.2805,0.286762501158844,0.00691076518161202,1,4,5,1
"Cancellation",10000,8,2,-5916.62450098123,11916.1420653103,11888.7109941396,-6.31312058491743,0.2805,0.262791696759307,0.133391637889114,1,4,5,1
"Cancellation",10000,8,3,-5922.17271184973,11973.2901889071,11930.6196337527,0.569577336100096,0.2805,0.282097664427761,0.0181751479921776,1,4,5,1
"Cancellation",10000,8,4,-5927.6510542718,12030.2985756112,11972.388536473,-0.863736934701543,0.2805,0.278077217898162,0.0258136964739906,1,4,5,1
"Cancellation",10000,8,5,-5920.71141108048,12062.4709910884,11989.3214679665,-2.0846440792508,0.2805,0.274652573357702,0.029481031880425,1,4,5,1
