"design","N","K_est","cf_mean","cf_sd","cf_q25","cf_q75","se_rate_mean","gamma_wt_mean","mean_range","median_range"
"Cancellation",10000,1,0.478905762869204,3.94979486450359,-2.20914760207128,3.39333175236874,0.287119,0.0128253106629563,6.38667426918076,5.52426089313028
"Cancellation",10000,2,-0.907889759253415,2.65989630577077,-2.25652319096893,0.802998984067187,0.287119,0.0227839649696751,6.38667426918076,5.52426089313028
"Cancellation",10000,3,-0.554883322191901,2.29737661043189,-1.36833393644058,0.695966152224942,0.287119,0.0147804804048215,6.38667426918076,5.52426089313028
"Cancellation",10000,4,-0.741952825786137,2.09741675382451,-1.54841645228678,0.437363863661696,0.287119,0.0131138654575383,6.38667426918076,5.52426089313028
"Cancellation",10000,5,-0.607979599533899,1.91851426255038,-1.63120477491472,0.598191390273779,0.287119,0.0104794590521754,6.38667426918076,5.52426089313028
"Same-Sign",10000,1,-0.931163992513545,3.43431623674044,-2.95225564600773,1.35825198884593,0.293217,0.062945916900037,6.98654591389463,6.19338469226293
"Same-Sign",10000,2,-0.926711489393373,3.94479630640187,-2.87170734599156,1.17536191891321,0.293217,0.0354440070315187,6.98654591389463,6.19338469226293
"Same-Sign",10000,3,-1.18878858616313,2.82797026303949,-2.59662819314029,0.285309561617334,0.293217,0.0323406771990554,6.98654591389463,6.19338469226293
"Same-Sign",10000,4,-1.01668812434604,2.39570613719041,-2.01074846075605,0.518481540065124,0.293217,0.0237996338395775,6.98654591389463,6.19338469226293
"Same-Sign",10000,5,-1.06376954702117,2.20078047859932,-2.37239612965198,0.187454909744412,0.293217,0.0207484472960621,6.98654591389463,6.19338469226293
