"design","N","K_est","cf_mean","cf_sd"
"Cancellation",2000,1,6.32706509655626,8.99123924127377
"Cancellation",2000,2,7.0739045107866,8.54676845570749
"Cancellation",2000,3,5.26362615440572,7.0269151261215
"Cancellation",2000,4,6.52261702371555,7.78790425281699
"Cancellation",2000,5,5.40015161617091,6.40086484653329
"Cancellation",10000,1,5.40485467183191,8.99335649605834
"Cancellation",10000,2,6.47327024733396,7.82839085561669
"Cancellation",10000,3,4.02187571809133,5.31089238875754
"Cancellation",10000,4,5.29785229571883,6.49423529861375
"Cancellation",10000,5,4.90034809950809,5.88025000484365
"Cancellation",50000,1,-0.147467859629736,8.66296148549617
"Cancellation",50000,2,3.67944189150052,6.00324591313539
"Cancellation",50000,3,6.8049237774744,8.12304262050871
"Cancellation",50000,4,4.03982269519677,7.68619492802926
"Cancellation",50000,5,-0.499695827745644,4.83935937296131
"Same-Sign",2000,1,4.71665658109829,8.84102821437671
"Same-Sign",2000,2,4.55692735067654,7.71726273558497
"Same-Sign",2000,3,4.150910610912,7.07408252280788
"Same-Sign",2000,4,2.95785897984157,7.24473015600335
"Same-Sign",2000,5,4.46397210507588,6.87010854477819
"Same-Sign",10000,1,6.29741701003804,8.34116895630787
"Same-Sign",10000,2,4.21774944306098,7.80853519586963
"Same-Sign",10000,3,3.42351952314088,5.5408190203754
"Same-Sign",10000,4,2.86371502646263,5.42774917313498
"Same-Sign",10000,5,2.59372320812221,5.51586101535407
"Same-Sign",50000,1,3.89128101659443,4.894961256933
"Same-Sign",50000,2,5.66984547590781,5.40666941807568
"Same-Sign",50000,3,4.17226366815297,7.18430946445344
"Same-Sign",50000,4,4.54994880080868,4.6634185475543
"Same-Sign",50000,5,3.32835918109586,5.62806254924376
