"design","N","K_est","cf_mean","cf_sd","mc_se","n_reps"
"Cancellation",2000,1,5.15718805713322,8.38673127343084,0.593031455543224,200
"Cancellation",2000,2,6.29285477354506,8.28106586053845,0.585559782543915,200
"Cancellation",2000,3,5.46321250812894,7.30075659085233,0.516241449318406,200
"Cancellation",2000,4,6.21162091372392,7.23972437811261,0.511925820168499,200
"Cancellation",2000,5,5.37092753043406,6.70474205397124,0.474096857246969,200
"Cancellation",10000,1,5.27364600231788,8.73341797095714,0.873341797095714,100
"Cancellation",10000,2,5.30761980926321,6.32651838536843,0.632651838536843,100
"Cancellation",10000,3,5.36510715941832,6.55221802305843,0.655221802305843,100
"Cancellation",10000,4,6.8028670611043,6.45348705521411,0.645348705521411,100
"Cancellation",10000,5,4.89893445118761,6.26572280661513,0.626572280661513,100
"Cancellation",50000,1,4.39014622089466,4.55526206206873,1.01858756261115,20
"Cancellation",50000,2,3.5711658607101,6.27728434880428,1.40364345180219,20
"Cancellation",50000,3,5.32284453900474,7.81035215409665,1.7464478344772,20
"Cancellation",50000,4,9.64249768440724,5.37843142948474,1.20265382886492,20
"Cancellation",50000,5,6.48424340874665,4.17765837605862,0.934152811563846,20
"Same-Sign",2000,1,3.58129931494228,8.70266962744097,0.615371670798971,200
"Same-Sign",2000,2,3.61457811525916,7.66282645146842,0.541843654688897,200
"Same-Sign",2000,3,2.93363113391399,7.32376128748275,0.517868127017057,200
"Same-Sign",2000,4,3.14355556888284,6.35357282265255,0.449265442766017,200
"Same-Sign",2000,5,3.07850403242078,5.80034933292347,0.410146634656105,200
"Same-Sign",10000,1,3.93710142187315,6.5434841822029,0.65434841822029,100
"Same-Sign",10000,2,5.03317628810163,6.9491773132024,0.69491773132024,100
"Same-Sign",10000,3,4.33346327758825,7.15615770525052,0.715615770525052,100
"Same-Sign",10000,4,4.30364069152662,5.33489661197579,0.533489661197579,100
"Same-Sign",10000,5,2.99616337144584,5.49482242906123,0.549482242906123,100
"Same-Sign",50000,1,6.10580652786157,8.13017845208887,1.81796316880747,20
"Same-Sign",50000,2,0.945897867729703,8.5166323628399,1.90437689026847,20
"Same-Sign",50000,3,2.20169527633627,6.75973625207768,1.51152297696153,20
"Same-Sign",50000,4,3.53174310254368,4.62699638589981,1.03462784505178,20
"Same-Sign",50000,5,3.24978440718163,5.65283989211373,1.26401342646889,20
