"N","rep","K_est","loglik","bic","n_params","cf_effect_pp","cf_effect_pct","purchase_base","purchase_cf","gamma_weighted","converged","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
10000,1,1,-667376098966.292,1334752197969.42,4,0,NA,0,0,-34739911.5142482,FALSE,2,3,5,2
10000,1,2,-6854.6426457897,13792.1783549272,9,0,0,0.4381,0.4381,-12323821.7641327,TRUE,2,3,5,2
10000,1,3,-6854.64251441129,13838.2297940302,14,2.14684321764302e-05,4.90035156847608e-05,0.438100050511132,0.43809983582681,-22499730.7900244,TRUE,2,3,5,2
10000,1,4,-6854.6426457897,13884.2817586469,19,0,0,0.4381,0.4381,-28004419.9641187,TRUE,2,3,5,2
10000,1,5,-6854.6426457897,13930.3334605068,24,0,0,0.4381,0.4381,5672288.87525566,TRUE,2,3,5,2
10000,2,1,-139193507776.733,278387015590.308,4,1.47,2.64912596864301,0.5696,0.5549,1317765.16537894,FALSE,2,3,5,2
10000,2,2,-6878.5391439195,13839.9713511868,9,0,0,0.4486,0.4486,-6066926.02120925,TRUE,2,3,5,2
10000,2,3,-6878.5391439195,13886.0230530467,14,0,0,0.4486,0.4486,-13811546.5024071,TRUE,2,3,5,2
10000,2,4,-6878.5391439195,13932.0747549066,19,0,0,0.4486,0.4486,-603632.920807419,TRUE,2,3,5,2
10000,2,5,-6823.18712002956,13867.4224089865,24,1.67341838887997,3.8748572506815,0.4486,0.4318658161112,-5140877.91710746,TRUE,2,3,5,2
10000,3,1,-522906328363.366,1045812656763.57,4,4.74,5.4276880796977,0.9207,0.8733,11918481.4610641,FALSE,2,3,5,2
10000,3,2,-6872.38554070505,13827.6641447579,9,0,0,0.4457,0.4457,-5143608.42943086,TRUE,2,3,5,2
10000,3,3,-6872.38554070505,13873.7158466178,14,0,0,0.4457,0.4457,9586770.06021636,TRUE,2,3,5,2
10000,3,4,-6872.38554070505,13919.7675484777,19,0,0,0.4457,0.4457,2271993.05727459,TRUE,2,3,5,2
10000,3,5,-6872.38554070505,13965.8192503375,24,0,0,0.4457,0.4457,-20818434.7353625,TRUE,2,3,5,2
10000,4,1,-50127005429.4721,100254010895.786,4,0,NA,0,0,-33706459.2494791,FALSE,2,3,5,2
10000,4,2,-6865.43109791205,13813.7552591719,9,0,0,0.4426,0.4426,-4217106.34785916,TRUE,2,3,5,2
10000,4,3,-6865.43109791205,13859.8069610318,14,0,0,0.4426,0.4426,-967447.07704276,TRUE,2,3,5,2
10000,4,4,-6865.43109791205,13905.8586628916,19,0,0,0.4426,0.4426,3704764.32236191,TRUE,2,3,5,2
10000,4,5,-6865.43109791205,13951.9103647515,24,0,0,0.4426,0.4426,-5315497.88124936,TRUE,2,3,5,2
10000,5,1,-49486110612.117,98972221261.0753,4,0,NA,0,0,-24405476.3137447,FALSE,2,3,5,2
10000,5,2,-6849.58383905082,13782.0607414494,9,0,0,0.4361,0.4361,-3804031.10086572,TRUE,2,3,5,2
10000,5,3,-6849.58383905082,13828.1124433093,14,0,0,0.4361,0.4361,2517692.1820831,TRUE,2,3,5,2
10000,5,4,-6849.58383905082,13874.1641451692,19,0,0,0.4361,0.4361,-542863.520983472,TRUE,2,3,5,2
10000,5,5,-6849.58383905082,13920.2158470291,24,0,0,0.4361,0.4361,-1340983.33018837,TRUE,2,3,5,2
10000,6,1,-328516754074.441,657033508185.723,4,0,NA,0,0,-31372774.9962882,FALSE,5,3,5,5
10000,6,2,-6881.58860581386,13846.0702749755,9,0,0,0.4501,0.4501,-4041322.01219147,TRUE,5,3,5,5
10000,6,3,-6881.58860581386,13892.1219768354,14,0,0,0.4501,0.4501,5332028.28140603,TRUE,5,3,5,5
10000,6,4,-6881.58860581386,13938.1736786953,19,0,0,0.4501,0.4501,-2847373.25636667,TRUE,5,3,5,5
10000,6,5,-6807.48295919051,13836.0140873085,24,1.12153343362715,2.55541722318106,0.4501,0.438884665663728,-266421.798873017,TRUE,5,3,5,5
10000,7,1,-656933979506.526,1313867959049.89,4,0,NA,0,0,-33800101.8301674,FALSE,2,3,5,2
10000,7,2,-6857.5999238108,13798.0929109694,9,0,0,0.4393,0.4393,2411377.60810138,TRUE,2,3,5,2
10000,7,3,-6857.5999238108,13844.1446128293,14,0,0,0.4393,0.4393,-15081869.2980992,TRUE,2,3,5,2
10000,7,4,-6857.5999238108,13890.1963146891,19,0,0,0.4393,0.4393,462853.793552101,TRUE,2,3,5,2
10000,7,5,-6857.5999238108,13936.248016549,24,0,0,0.4393,0.4393,-1142656.98302357,TRUE,2,3,5,2
10000,8,1,-55542106489.7301,111084213016.301,4,0,NA,0,0,-15198787.4483858,FALSE,2,3,5,2
10000,8,2,-6840.61047769514,13764.1140187381,9,0,0,0.4327,0.4327,20695105.0171692,TRUE,2,3,5,2
10000,8,3,-6840.6105111957,13810.1657875991,14,2.63813197398655e-06,6.09690813716542e-06,0.432699997355964,0.432699970974644,-51963.6355659682,TRUE,2,3,5,2
10000,8,4,-6840.61047769514,13856.2174224578,19,0,0,0.4327,0.4327,-15596430.7579562,TRUE,2,3,5,2
10000,8,5,-6840.61047769514,13902.2691243177,24,0,0,0.4327,0.4327,-28117536.9548963,TRUE,2,3,5,2
10000,9,1,-54794903348.9483,109589806734.738,4,0.660000000000005,0.674019607843142,0.9858,0.9792,3052158.80348762,FALSE,3,5,5,5
10000,9,2,-6869.96238817559,13822.817839699,9,0,0,0.4446,0.4446,-8032458.4904281,TRUE,3,5,5,5
10000,9,3,-6822.88719293746,13774.7191510826,14,-2.50475962646152,-5.33327466462801,0.4446,0.469647596264615,-729640.858877674,TRUE,3,5,5,5
10000,9,4,-6862.73276007233,13900.4619872122,19,-0.140674425584247,-0.315408740778037,0.4446,0.446006744255842,12094685.16737,TRUE,3,5,5,5
10000,9,5,-6869.96238817559,13960.9729452786,24,1.11022302462516e-14,2.49712781067287e-14,0.4446,0.4446,-25141907.0586066,TRUE,3,5,5,5
10000,10,1,-188768992674.097,377537985385.036,4,0,NA,0,0,-40887831.1053345,FALSE,2,3,5,2
10000,10,2,-6869.96238817559,13822.817839699,9,0,0,0.4446,0.4446,17243532.1546305,TRUE,2,3,5,2
10000,10,3,-6869.96238817559,13868.8695415588,14,0,0,0.4446,0.4446,52489.2762725966,TRUE,2,3,5,2
10000,10,4,-6869.96585213662,13914.9281713408,19,-5.90708190695288e-06,-1.32862833501566e-05,0.44459996572718,0.444600024797999,6467417.24100546,TRUE,2,3,5,2
10000,10,5,-6869.96238817559,13960.9729452786,24,0,0,0.4446,0.4446,-3642937.53426181,TRUE,2,3,5,2
10000,11,1,-89282117855.9218,178564235748.685,4,6.83,19.1907839280697,0.4242,0.3559,8205765.35745621,FALSE,2,3,5,2
10000,11,2,-6833.99285331752,13750.8787699828,9,0,0,0.4303,0.4303,-9634033.89453111,TRUE,2,3,5,2
10000,11,3,-6833.99285331752,13796.9304718427,14,0,0,0.4303,0.4303,-23234068.1591721,TRUE,2,3,5,2
10000,11,4,-6833.99285331752,13842.9821737026,19,0,0,0.4303,0.4303,-2984023.37980379,TRUE,2,3,5,2
10000,11,5,-6833.99285331752,13889.0338755625,24,0,0,0.4303,0.4303,-14140109.3850181,TRUE,2,3,5,2
10000,12,1,-403579021802.259,807158043641.359,4,0,0,1,1,30026609.6422769,FALSE,2,3,5,2
10000,12,2,-6866.12112402002,13815.1353113878,9,0,0,0.4429,0.4429,-4385888.65333445,TRUE,2,3,5,2
10000,12,3,-6866.12112402002,13861.1870132477,14,0,0,0.4429,0.4429,10762635.8512979,TRUE,2,3,5,2
10000,12,4,-6866.12112402002,13907.2387151076,19,0,0,0.4429,0.4429,1920044.44695957,TRUE,2,3,5,2
10000,12,5,-6866.12112402002,13953.2904169675,24,0,0,0.4429,0.4429,-5351967.11674294,TRUE,2,3,5,2
10000,13,1,-60159390585.4069,120318781207.655,4,0,NA,0,0,-43820435.0997095,FALSE,2,3,5,2
10000,13,2,-6868.3948703135,13819.6828039748,9,0,0,0.4439,0.4439,-6065375.52413183,TRUE,2,3,5,2
10000,13,3,-6868.3948703135,13865.7345058347,14,0,0,0.4439,0.4439,1710672.64743449,TRUE,2,3,5,2
10000,13,4,-6868.3948703135,13911.7862076945,19,0,0,0.4439,0.4439,603153.234741347,TRUE,2,3,5,2
10000,13,5,-6868.3948703135,13957.8379095544,24,0,0,0.4439,0.4439,11256332.5654064,TRUE,2,3,5,2
10000,14,1,-473291749196.13,946583498429.101,4,6.97,9.81413686285553,0.7799,0.7102,15086647.0520583,FALSE,3,5,5,5
10000,14,2,-6886.08790733405,13855.0688780159,9,0,0,0.4524,0.4524,13255199.7572078,TRUE,3,5,5,5
10000,14,3,-6840.971699112,13810.8881634317,14,2.94582528949172,6.96508516753209,0.4524,0.422941747105083,8220157.76548333,TRUE,3,5,5,5
10000,14,4,-6886.08790733405,13947.1722817356,19,0,0,0.4524,0.4524,11690447.1890975,TRUE,3,5,5,5
10000,14,5,-6886.08790733405,13993.2239835955,24,0,0,0.4524,0.4524,1051463.55389532,TRUE,3,5,5,5
10000,15,1,-529294322014.827,1058588644066.5,4,-5.86,-23.889115368936,0.1867,0.2453,-6283655.80472513,FALSE,3,4,5,3
10000,15,2,-6931.08460060184,13945.0622645515,9,-5.81,-11.7231638418079,0.4375,0.4956,-10959638.3113902,TRUE,3,4,5,3
10000,15,3,-6853.14207276458,13835.2289107368,14,0,0,0.4375,0.4375,8489236.75918034,TRUE,3,4,5,3
10000,15,4,-6853.14207276458,13881.2806125967,19,0,0,0.4375,0.4375,-2308428.81775932,TRUE,3,4,5,3
10000,15,5,-6853.14207276458,13927.3323144566,24,0,0,0.4375,0.4375,-2010140.89657487,TRUE,3,4,5,3
10000,16,1,-34240917468.0336,68481834972.9086,4,0,NA,0,0,-43136826.9720803,FALSE,2,3,5,2
10000,16,2,-6860.25940420821,13803.4118717642,9,0,0,0.4404,0.4404,-23252130.2217304,TRUE,2,3,5,2
10000,16,3,-6860.2594032875,13849.4635717827,14,-8.05082833732484e-08,-1.82807182663481e-07,0.440399999896483,0.440400000701566,17213408.6246944,TRUE,2,3,5,2
10000,16,4,-6860.25940420821,13895.515275484,19,0,0,0.4404,0.4404,-6751420.34252052,TRUE,2,3,5,2
10000,16,5,-6860.25940420821,13941.5669773438,24,0,0,0.4404,0.4404,1081976.12177544,TRUE,2,3,5,2
10000,17,1,-53796274519.3121,107592549075.465,4,0,NA,0,0,-37233704.574625,FALSE,2,5,5,5
10000,17,2,-6837.33101642403,13757.5550961959,9,0,0,0.4315,0.4315,-15669389.9295229,TRUE,2,5,5,5
10000,17,3,-6824.45329761705,13777.8513604418,14,2.3825834233247,5.84433261510093,0.4315,0.407674165766753,-39218761.5002762,TRUE,2,5,5,5
10000,17,4,-6833.28428486632,13841.5650368002,19,1.62281532774959,3.90783854132543,0.4315,0.415271846722504,521763.320340768,TRUE,2,5,5,5
10000,17,5,-6837.33101642403,13895.7102017755,24,0,0,0.4315,0.4315,4013528.52077474,TRUE,2,5,5,5
10000,18,1,-52419737205.9598,104839474448.761,4,0,NA,0,0,-37058917.6863331,FALSE,2,5,5,5
10000,18,2,-6848.03448660333,13778.9620365544,9,0,0,0.4355,0.4355,-7012273.90236666,TRUE,2,5,5,5
10000,18,3,-6842.52452040093,13813.9938060095,14,1.58782443517599,3.78394211883293,0.4355,0.41962175564824,-34725171.3831927,TRUE,2,5,5,5
10000,18,4,-6848.03448660333,13871.0654402742,19,0,0,0.4355,0.4355,-5365056.9621897,TRUE,2,5,5,5
10000,18,5,-6791.60825996079,13804.264688849,24,2.19254036466189,5.30143868601752,0.4355,0.413574596353381,-3837072.18374542,TRUE,2,5,5,5
10000,19,1,-317824307864.71,635648615766.261,4,0,NA,0,0,-48333923.0304797,FALSE,2,3,5,2
10000,19,2,-6863.33912907223,13809.5713214922,9,0,0,0.4417,0.4417,-15749641.2689127,TRUE,2,3,5,2
10000,19,3,-6863.33912907223,13855.6230233521,14,0,0,0.4417,0.4417,-1655009.28404261,TRUE,2,3,5,2
10000,19,4,-6863.33912907223,13901.674725212,19,0,0,0.4417,0.4417,3047405.25636411,TRUE,2,3,5,2
10000,19,5,-6863.33912907223,13947.7264270719,24,0,0,0.4417,0.4417,3509087.70620636,TRUE,2,3,5,2
10000,20,1,-447441230918.233,894882461873.307,4,0,NA,0,0,-43071582.0169985,FALSE,3,4,5,3
10000,20,2,-6930.43824878797,13943.7695609237,9,-5.46,-11.0795454545455,0.4382,0.4928,7699934.94983628,TRUE,3,4,5,3
10000,20,3,-6854.8913193834,13838.7274039745,14,0,0,0.4382,0.4382,-789899.379528784,TRUE,3,4,5,3
10000,20,4,-6854.8913193834,13884.7791058343,19,0,0,0.4382,0.4382,153172.097555808,TRUE,3,4,5,3
10000,20,5,-6854.8913193834,13930.8308076942,24,0,0,0.4382,0.4382,-1574297.50390877,TRUE,3,4,5,3
10000,21,1,-641080479613.335,1282160959263.51,4,2.93,3.24797694268928,0.9314,0.9021,3501642.87194973,FALSE,3,5,5,5
10000,21,2,-6852.38630081531,13787.6656649784,9,0,0,0.4372,0.4372,-6371198.88347116,TRUE,3,5,5,5
10000,21,3,-6817.43091455538,13763.8065943184,14,2.26347806826724,5.4598841455498,0.437200000003698,0.414565219321025,-2726966.93947188,TRUE,3,5,5,5
10000,21,4,-6852.38647465842,13879.7694163844,19,6.07949084963089e-06,1.39055165745853e-05,0.437199989112724,0.437199928317815,-13655471.0692047,TRUE,3,5,5,5
10000,21,5,-6852.38630081531,13925.8207705581,24,0,0,0.4372,0.4372,7199474.30898526,TRUE,3,5,5,5
10000,22,1,-386551205322.579,773102410682,4,0,0,1,1,29032985.8546266,FALSE,2,3,5,2
10000,22,2,-6848.55256426828,13779.9981918843,9,0,0,0.4357,0.4357,-20442984.6935707,TRUE,2,3,5,2
10000,22,3,-6848.55256426827,13826.0498937442,14,0,0,0.4357,0.4357,-603945.401662925,TRUE,2,3,5,2
10000,22,4,-6848.55256426828,13872.1015956041,19,1.11022302462516e-14,2.54813638885737e-14,0.4357,0.4357,-18162376.3234188,TRUE,2,3,5,2
10000,22,5,-6803.55212598334,13828.1524208941,24,-0.759122903984738,-1.71246993907137,0.4357,0.443291229039847,4988559.16560461,TRUE,2,3,5,2
10000,23,1,-675163970412.895,1350327940862.63,4,0,NA,0,0,-28245721.4902593,FALSE,2,3,5,2
10000,23,2,-6830.31022048436,13743.5135043165,9,0,0,0.429,0.429,-10019973.4966714,TRUE,2,3,5,2
10000,23,3,-6830.31022048436,13789.5652061764,14,0,0,0.429,0.429,-3192687.89803498,TRUE,2,3,5,2
10000,23,4,-6830.3123749799,13835.6212170273,19,0.000904205939616931,0.00210774843007163,0.429000437197668,0.428991395138272,1116119.20426503,TRUE,2,3,5,2
10000,23,5,-6811.15479405835,13843.3577570441,24,0.492084059785375,1.16035897750576,0.429,0.424079159402146,7601282.39020811,TRUE,2,3,5,2
10000,24,1,-177551246822.738,355102493682.317,4,0,NA,0,0,-41783703.2470213,FALSE,2,3,5,2
10000,24,2,-6867.71700081466,13818.3270649771,9,0,0,0.4436,0.4436,-7080336.98979895,TRUE,2,3,5,2
10000,24,3,-6867.71700081466,13864.378766837,14,0,0,0.4436,0.4436,-6599419.23455585,TRUE,2,3,5,2
10000,24,4,-6867.71700081466,13910.4304686969,19,0,0,0.4436,0.4436,7832248.59454718,TRUE,2,3,5,2
10000,24,5,-6867.71700081466,13956.4821705567,24,0,0,0.4436,0.4436,-3901497.28997381,TRUE,2,3,5,2
10000,25,1,-249156959978.208,498313919993.258,4,0,NA,0,0,-20027554.9208561,FALSE,2,3,5,2
10000,25,2,-6857.11110491306,13797.1152731739,9,0,0,0.4391,0.4391,-12499875.0928891,TRUE,2,3,5,2
10000,25,3,-6857.11110491306,13843.1669750338,14,0,0,0.4391,0.4391,-1412075.42698324,TRUE,2,3,5,2
10000,25,4,-6857.11110491306,13889.2186768937,19,0,0,0.4391,0.4391,3597530.71851998,TRUE,2,3,5,2
10000,25,5,-6857.11110491306,13935.2703787536,24,0,0,0.4391,0.4391,573786.95347353,TRUE,2,3,5,2
10000,26,1,-57255235623.398,114510471283.637,4,2.32,14.3653250773994,0.1847,0.1615,2253419.5665462,FALSE,2,3,5,2
10000,26,2,-6849.32663037053,13781.5463240888,9,0,0,0.436,0.436,-7096394.94845895,TRUE,2,3,5,2
10000,26,3,-6849.32663037053,13827.5980259487,14,0,0,0.436,0.436,2484841.59869151,TRUE,2,3,5,2
10000,26,4,-7178.67672887666,14532.3499248209,19,1.81993627719493,4.35599210491759,0.436,0.417800637228051,-5716538.7045461,TRUE,2,3,5,2
10000,26,5,-6849.32663037053,13919.7014296685,24,0,0,0.436,0.436,-1274965.92975634,TRUE,2,3,5,2
10000,27,1,-80249306973.4726,160498613983.787,4,0,0,1,1,23981311.8698744,FALSE,2,3,5,2
10000,27,2,-6849.32663037053,13781.5463240888,9,0,0,0.436,0.436,-10890836.808434,TRUE,2,3,5,2
10000,27,3,-6849.32663037053,13827.5980259487,14,0,0,0.436,0.436,754473.384455737,TRUE,2,3,5,2
10000,27,4,-6849.32663037053,13873.6497278086,19,0,0,0.436,0.436,-24385695.3505127,TRUE,2,3,5,2
10000,27,5,-6849.32663037053,13919.7014296685,24,0,0,0.436,0.436,-342846.954668248,TRUE,2,3,5,2
10000,28,1,-572902455007.892,1145804910052.63,4,0,0,1,1,16966446.5180155,FALSE,2,3,5,2
10000,28,2,-6856.12859467508,13795.1502526979,9,0,0,0.4387,0.4387,1065157.75603298,TRUE,2,3,5,2
