"design","N","k_selected_consensus","count","freq"
"Cancellation",2000,1,62,0.62
"Cancellation",2000,2,23,0.23
"Cancellation",2000,3,4,0.04
"Cancellation",2000,4,3,0.03
"Cancellation",2000,5,8,0.08
"Cancellation",10000,1,11,0.22
"Cancellation",10000,2,8,0.16
"Cancellation",10000,3,23,0.46
"Cancellation",10000,4,4,0.08
"Cancellation",10000,5,4,0.08
"Cancellation",50000,1,5,0.5
"Cancellation",50000,3,2,0.2
"Cancellation",50000,5,3,0.3
"Same-Sign",2000,1,61,0.61
"Same-Sign",2000,2,25,0.25
"Same-Sign",2000,3,5,0.05
"Same-Sign",2000,4,5,0.05
"Same-Sign",2000,5,4,0.04
"Same-Sign",10000,1,11,0.22
"Same-Sign",10000,2,11,0.22
"Same-Sign",10000,3,14,0.28
"Same-Sign",10000,4,4,0.08
"Same-Sign",10000,5,10,0.2
"Same-Sign",50000,1,3,0.3
"Same-Sign",50000,2,3,0.3
"Same-Sign",50000,4,2,0.2
"Same-Sign",50000,5,2,0.2
