"design","N","k_selected_consensus","count","freq"
"Cancellation",2000,1,122,0.61
"Cancellation",2000,2,38,0.19
"Cancellation",2000,3,13,0.065
"Cancellation",2000,4,11,0.055
"Cancellation",2000,5,16,0.08
"Cancellation",10000,1,33,0.33
"Cancellation",10000,2,28,0.28
"Cancellation",10000,3,15,0.15
"Cancellation",10000,4,4,0.04
"Cancellation",10000,5,20,0.2
"Cancellation",50000,1,4,0.2
"Cancellation",50000,2,3,0.15
"Cancellation",50000,3,6,0.3
"Cancellation",50000,4,2,0.1
"Cancellation",50000,5,5,0.25
"Same-Sign",2000,1,123,0.615
"Same-Sign",2000,2,30,0.15
"Same-Sign",2000,3,22,0.11
"Same-Sign",2000,4,15,0.075
"Same-Sign",2000,5,10,0.05
"Same-Sign",10000,1,29,0.29
"Same-Sign",10000,2,27,0.27
"Same-Sign",10000,3,14,0.14
"Same-Sign",10000,4,10,0.1
"Same-Sign",10000,5,20,0.2
"Same-Sign",50000,1,5,0.25
"Same-Sign",50000,2,3,0.15
"Same-Sign",50000,3,5,0.25
"Same-Sign",50000,4,4,0.2
"Same-Sign",50000,5,3,0.15
