"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Cancellation",2000,1,1,-4391.64030646232,8874.49144243915,8853.00794355294,-1.64398877658708,0.110967647030621,1,5,3,1
"Cancellation",2000,1,2,-4385.24920087291,8960.52096323436,8915.76367388808,5.54630246470495,0.0555791981657005,1,5,3,1
"Cancellation",2000,1,3,-4352.82024473532,8994.47478293324,8926.44370312689,-6.38989051749,0.0493936778387706,1,5,3,1
"Cancellation",2000,1,4,-4317.83490016158,9023.3158257598,8932.01095549338,-2.10910527663369,0.00304945988760322,1,5,3,1
"Cancellation",2000,1,5,-4296.43186430975,9079.3214860302,8964.74282530372,-2.60210157538413,0.0105108939702365,1,5,3,1
"Cancellation",2000,2,1,-4340.31539143095,8771.8416123764,8750.35811349019,5.61204751864557,0.0654105520778951,1,5,3,1
"Cancellation",2000,2,2,-4329.79041554483,8849.60339257821,8804.84610323192,9.03303866721543,0.026552967282218,1,5,3,1
"Cancellation",2000,2,3,-4362.25971499256,9013.35372344772,8945.32264364136,5.55228478442011,0.0111557817427975,1,5,3,1
"Cancellation",2000,2,4,-4381.6867981661,9151.01962176886,9059.71475150244,13.5728684724509,0.0214746387888663,1,5,3,1
"Cancellation",2000,2,5,-4324.59953727153,9135.65683195375,9021.07817122727,16.7805684957072,0.009570979352041,1,5,3,1
"Cancellation",2000,3,1,-4395.78700391599,8882.78483734647,8861.30133846026,3.32934251667138,0.0830128872245622,2,5,2,2
"Cancellation",2000,3,2,-4343.91189397286,8877.84634943427,8833.08906008799,-0.491131772629745,-0.013283730928698,2,5,2,2
"Cancellation",2000,3,3,-4334.77826246542,8958.39081839345,8890.3597385871,-5.21567691769666,0.0454695844032165,2,5,2,2
"Cancellation",2000,3,4,-4308.00468155853,9003.65538855371,8912.3505182873,-1.79308463981608,0.0135071649500248,2,5,2,2
"Cancellation",2000,3,5,-4314.45071291545,9115.3591832416,9000.78052251512,5.3433543338419,0.0262861670826919,2,5,2,2
"Cancellation",2000,4,1,-4362.75119306979,8816.71321565408,8795.22971676787,18.5385515762001,-0.00957552519339431,2,5,4,2
"Cancellation",2000,4,2,-4324.47949911127,8838.9815597111,8794.22427036482,-6.10225576230288,0.0379269574841117,2,5,4,2
"Cancellation",2000,4,3,-4326.70044498772,8942.23518343804,8874.20410363168,10.4895422035818,0.028854894759994,2,5,4,2
"Cancellation",2000,4,4,-4301.37623730122,8990.39850003908,8899.09362977266,2.79377576194249,0.0430164668130577,2,5,4,2
"Cancellation",2000,4,5,-4389.36289602513,9265.18354946095,9150.60488873446,14.2183163147225,0.00991253500859326,2,5,4,2
"Cancellation",2000,5,1,-4314.96395929166,8721.13874809783,8699.65524921161,6.54754553404665,0.115814032408347,1,5,2,1
"Cancellation",2000,5,2,-4362.8874147175,8915.79739092354,8871.04010157726,-8.01501610693765,0.0573894064710794,1,5,2,1
"Cancellation",2000,5,3,-4322.30680140817,8933.44789627893,8865.41681647258,-2.20891064100275,0.0276827160100609,1,5,2,1
"Cancellation",2000,5,4,-4289.90843321688,8967.46289187041,8876.15802160399,9.24291262092458,0.0194009503974477,1,5,2,1
"Cancellation",2000,5,5,-4295.8905783899,9078.23891419049,8963.66025346401,8.08902721943716,0.0315453173179292,1,5,2,1
"Cancellation",2000,6,1,-4355.99619346053,8803.20321643556,8781.71971754934,-5.90588237160859,0.104674656399895,1,4,2,1
"Cancellation",2000,6,2,-4400.63162763366,8991.28581675587,8946.52852740959,5.71036924816307,0.0516396277372866,1,4,2,1
"Cancellation",2000,6,3,-4340.521510405,8969.87731427259,8901.84623446624,7.79196346433196,0.0142296498457197,1,4,2,1
"Cancellation",2000,6,4,-4375.30030399104,9138.24663341873,9046.94176315232,8.56015868771167,-0.0191814656922475,1,4,2,1
"Cancellation",2000,6,5,-4312.43825569241,9111.33426879552,8996.75560806903,10.4034458771859,-0.000501933214584921,1,4,2,1
"Cancellation",2000,7,1,-4402.38868685075,8895.988203216,8874.50470432979,-15.3043397733006,0.0762540079604498,2,5,4,2
"Cancellation",2000,7,2,-4316.19919215891,8822.42094580636,8777.66365646008,2.15493761657836,0.0130833721690249,2,5,4,2
"Cancellation",2000,7,3,-4289.04220433445,8866.9187021315,8798.88762232515,-0.136877125564094,0.0365945661241738,2,5,4,2
"Cancellation",2000,7,4,-4362.24289058372,9112.13180660408,9020.82693633767,11.0200059369457,0.0371404504442374,2,5,4,2
"Cancellation",2000,7,5,-4358.42997313216,9203.31770367502,9088.73904294853,1.61534134282784,0.00807304961132621,2,5,4,2
"Cancellation",2000,8,1,-4263.43972076924,8618.09027105299,8596.60677216677,10.7375601193244,0.0226291180484993,1,5,2,1
"Cancellation",2000,8,2,-4305.42069975684,8800.86396100224,8756.10667165596,20.08920915724,-0.0317920587889736,1,5,2,1
"Cancellation",2000,8,3,-4353.79205035444,8996.41839417149,8928.38731436513,3.21315836936687,0.013660586889878,1,5,2,1
"Cancellation",2000,8,4,-4346.06911742982,9079.78426029628,8988.47939002986,13.2815834580806,0.0240512686640077,1,5,2,1
"Cancellation",2000,8,5,-4325.11858902297,9136.69493545663,9022.11627473014,4.49226707207606,0.0166110354554249,1,5,2,1
"Cancellation",2000,9,1,-4344.87396087476,8780.95875126402,8759.47525237781,-7.79366675686552,0.0781502851261744,1,5,3,1
"Cancellation",2000,9,2,-4336.2868776116,8862.59631671176,8817.83902736547,10.032924141163,0.015980114941275,1,5,3,1
"Cancellation",2000,9,3,-4314.97461199231,8918.78351744722,8850.75243764087,-5.57144222655661,0.0396356886911461,1,5,3,1
"Cancellation",2000,9,4,-4353.71579165943,9095.0776087555,9003.77273848908,3.96460677208021,0.000248205404333014,1,5,3,1
"Cancellation",2000,9,5,-4364.58324494062,9215.62424729193,9101.04558656545,5.18257329547207,0.00475490607948372,1,5,3,1
"Cancellation",2000,10,1,-4347.07944258888,8785.36971469227,8763.88621580605,16.7379972769357,0.00474716236103641,2,5,2,2
"Cancellation",2000,10,2,-4303.72580576854,8797.47417302564,8752.71688367936,12.9737115724348,0.0101569587903966,2,5,2,2
"Cancellation",2000,10,3,-4324.77613136893,8938.38655620045,8870.3554763941,5.70366086044451,0.00550889072549545,2,5,2,2
"Cancellation",2000,10,4,-4334.81086254257,9057.2677505218,8965.96288025538,0.00277314000036782,0.0224227095763799,2,5,2,2
"Cancellation",2000,10,5,-4271.59783923368,9029.65343587804,8915.07477515156,5.1787712462881,0.0148251086735301,2,5,2,2
"Cancellation",2000,11,1,-4475.84210854096,9042.89504659643,9021.41154771022,2.21580272684528,0.0703701227214222,4,5,3,3
"Cancellation",2000,11,2,-4397.01401606198,8984.0505936125,8939.29330426622,8.64116039688657,0.0155776941324029,4,5,3,3
"Cancellation",2000,11,3,-4407.16447399114,9103.16324144489,9035.13216163854,0.747827310555584,0.0350862455213796,4,5,3,3
"Cancellation",2000,11,4,-4299.92137487152,8987.48877517969,8896.18390491327,-11.4232143014125,0.0502629605008465,4,5,3,3
"Cancellation",2000,11,5,-4351.51895657631,9189.49567056331,9074.91700983682,3.76419249390503,-0.00131140388019776,4,5,3,3
"Cancellation",2000,12,1,-4337.82703577797,8766.86490107044,8745.38140218423,18.9829108777745,-0.0134035369361612,1,3,4,1
"Cancellation",2000,12,2,-4358.57906273174,8907.18068695202,8862.42339760574,-5.47364021175347,0.0622522320974444,1,3,4,1
"Cancellation",2000,12,3,-4297.73613128254,8884.30655602767,8816.27547622132,-6.77455319990569,0.0270195679203917,1,3,4,1
"Cancellation",2000,12,4,-4294.98627726658,8977.61857996981,8886.31370970339,3.77833788410237,0.0253609660014179,1,3,4,1
"Cancellation",2000,12,5,-4340.4444868963,9167.34673120329,9052.76807047681,11.0187954276319,0.00728458828317992,1,3,4,1
"Cancellation",2000,13,1,-4425.10148203775,8941.41379359,8919.93029470379,2.68888093753806,0.0916315204716502,2,5,1,1
"Cancellation",2000,13,2,-4318.04114875489,8826.10485899832,8781.34756965204,3.54937474058046,0.0267203327923187,2,5,1,1
"Cancellation",2000,13,3,-4397.42945540803,9083.69320427866,9015.66212447231,14.6344640870436,0.0194896461212867,2,5,1,1
"Cancellation",2000,13,4,-4293.94738529937,8975.54079603538,8884.23592576896,1.46777804976831,0.0535139603764685,2,5,1,1
"Cancellation",2000,13,5,-4281.97213344612,9050.40202430292,8935.82336357644,-2.52920111088007,0.000983061638436163,2,5,1,1
"Cancellation",2000,14,1,-4398.58856741293,8888.38796434037,8866.90446545415,-2.212838646888,0.0657204565918584,2,5,2,2
"Cancellation",2000,14,2,-4338.81231328199,8867.64718805254,8822.88989870625,6.49127926038543,0.0189752472330021,2,5,2,2
"Cancellation",2000,14,3,-4330.8916997764,8950.6176930154,8882.58661320905,10.8532126132591,0.000241776167642819,2,5,2,2
"Cancellation",2000,14,4,-4345.41407571554,9078.47417686773,8987.16930660131,5.82753853972461,0.0216305267708115,2,5,2,2
"Cancellation",2000,14,5,-4312.65084822337,9111.75945385744,8997.18079313095,4.5253349655298,0.0461335730807478,2,5,2,2
"Cancellation",2000,15,1,-4398.11401365436,8887.43885682322,8865.95535793701,22.7496020089903,0.0414971233849237,2,5,2,2
"Cancellation",2000,15,2,-4317.22580814105,8824.47417777066,8779.71688842438,12.2887714594237,0.0024650880931022,2,5,2,2
"Cancellation",2000,15,3,-4337.2688534849,8963.3720004324,8895.34092062605,9.00845202928834,-0.00510226047437282,2,5,2,2
"Cancellation",2000,15,4,-4384.03364940517,9155.71332424698,9064.40845398056,24.2772099779575,-0.00162456874826383,2,5,2,2
"Cancellation",2000,15,5,-4321.07867575724,9128.61510892517,9014.03644819868,15.1703511099932,0.0102107284681699,2,5,2,2
"Cancellation",2000,16,1,-4330.83125775373,8752.87334502196,8731.38984613574,16.897097511175,0.0399726474468453,2,5,3,2
"Cancellation",2000,16,2,-4281.39897812075,8752.82051773004,8708.06322838376,-2.45525193276187,0.0244740240404915,2,5,3,2
"Cancellation",2000,16,3,-4316.57904873586,8921.99239093431,8853.96131112796,13.9902944818672,0.0125258402251562,2,5,3,2
