="Multinomial Logit: Joint Banking-Employment Choice"
="",="(1)"
="",="joint_choice"
="",="b/se"
="Unbanked___Wage",=""
="1.age_cat",="0.0000"
="",="(.)"
="2.age_cat",="-0.2357"
="",="(0.0541)"
="3.age_cat",="-0.8237"
="",="(0.0641)"
="educ_hs",="-1.0918"
="",="(0.0662)"
="educ_somecoll",="-1.9013"
="",="(0.0828)"
="educ_college",="-3.4310"
="",="(0.0996)"
="race_black",="0.3375"
="",="(0.1104)"
="race_hispanic",="0.2888"
="",="(0.1173)"
="inc_30_50",="0.0000"
="",="(.)"
="inc_50_75",="0.0000"
="",="(.)"
="inc_75plus",="0.0000"
="",="(.)"
="broadband_std",="-0.1199"
="",="(0.0336)"
="yr_2",="-0.0355"
="",="(0.0676)"
="yr_3",="-0.0870"
="",="(0.0732)"
="yr_4",="-0.3042"
="",="(0.0654)"
="yr_5",="-0.4352"
="",="(0.1021)"
="yr_6",="-0.4413"
="",="(0.0799)"
="_cons",="-0.6304"
="",="(0.0992)"
="Unbanked___SE",=""
="1.age_cat",="0.0000"
="",="(.)"
="2.age_cat",="0.4860"
="",="(0.2464)"
="3.age_cat",="0.1798"
="",="(0.2269)"
="educ_hs",="-1.4136"
="",="(0.1649)"
="educ_somecoll",="-2.1792"
="",="(0.1818)"
="educ_college",="-3.5788"
="",="(0.2695)"
="race_black",="0.6334"
="",="(0.2444)"
="race_hispanic",="0.3325"
="",="(0.2695)"
="inc_30_50",="0.0000"
="",="(.)"
="inc_50_75",="0.0000"
="",="(.)"
="inc_75plus",="0.0000"
="",="(.)"
="broadband_std",="-0.1905"
="",="(0.0713)"
="yr_2",="0.1126"
="",="(0.2009)"
="yr_3",="0.1489"
="",="(0.1786)"
="yr_4",="-0.4581"
="",="(0.2565)"
="yr_5",="-0.0564"
="",="(0.2592)"
="yr_6",="0.2171"
="",="(0.2404)"
="_cons",="-3.6503"
="",="(0.2822)"
="Unbanked___NotWork",=""
="1.age_cat",="0.0000"
="",="(.)"
="2.age_cat",="-0.4815"
="",="(0.1052)"
="3.age_cat",="-1.2056"
="",="(0.1203)"
="educ_hs",="-1.1669"
="",="(0.1127)"
="educ_somecoll",="-2.0084"
="",="(0.1305)"
="educ_college",="-4.3368"
="",="(0.2584)"
="race_black",="-0.0711"
="",="(0.3556)"
="race_hispanic",="-0.2637"
="",="(0.3269)"
="inc_30_50",="0.0000"
="",="(.)"
="inc_50_75",="0.0000"
="",="(.)"
="inc_75plus",="0.0000"
="",="(.)"
="broadband_std",="-0.1735"
="",="(0.0416)"
="yr_2",="-0.3690"
="",="(0.1397)"
="yr_3",="-0.5843"
="",="(0.1777)"
="yr_4",="-1.1238"
="",="(0.1729)"
="yr_5",="-0.3786"
="",="(0.1623)"
="yr_6",="-1.0615"
="",="(0.2700)"
="_cons",="-1.0900"
="",="(0.1468)"
="Mobile___Wage",=""
="1.age_cat",="0.0000"
="",="(.)"
="2.age_cat",="-0.2322"
="",="(0.0401)"
="3.age_cat",="-0.6364"
="",="(0.0480)"
="educ_hs",="0.3381"
="",="(0.0903)"
="educ_somecoll",="0.3306"
="",="(0.1001)"
="educ_college",="0.4361"
="",="(0.0953)"
="race_black",="-0.2960"
="",="(0.0911)"
="race_hispanic",="0.3230"
="",="(0.0536)"
="inc_30_50",="0.0000"
="",="(.)"
="inc_50_75",="0.0000"
="",="(.)"
="inc_75plus",="0.0000"
="",="(.)"
="broadband_std",="0.1187"
="",="(0.0414)"
="yr_2",="0.3870"
="",="(0.0725)"
="yr_3",="0.4967"
="",="(0.0801)"
="yr_4",="-0.5290"
="",="(0.0903)"
="yr_5",="0.5698"
="",="(0.0949)"
="yr_6",="0.5140"
="",="(0.0847)"
="_cons",="-2.4608"
="",="(0.1200)"
="Mobile___SE",=""
="1.age_cat",="0.0000"
="",="(.)"
="2.age_cat",="0.7760"
="",="(0.2005)"
="3.age_cat",="0.7666"
="",="(0.2242)"
="educ_hs",="0.0997"
="",="(0.2559)"
="educ_somecoll",="0.1789"
="",="(0.2404)"
="educ_college",="0.2150"
="",="(0.2408)"
="race_black",="0.1822"
="",="(0.2676)"
="race_hispanic",="0.1038"
="",="(0.1875)"
="inc_30_50",="0.0000"
="",="(.)"
="inc_50_75",="0.0000"
="",="(.)"
="inc_75plus",="0.0000"
="",="(.)"
="broadband_std",="0.1687"
="",="(0.0817)"
="yr_2",="0.2810"
="",="(0.1292)"
="yr_3",="0.3090"
="",="(0.1447)"
="yr_4",="-1.0127"
="",="(0.2264)"
="yr_5",="0.4090"
="",="(0.1797)"
="yr_6",="0.2727"
="",="(0.1975)"
="_cons",="-5.6420"
="",="(0.3667)"
="Mobile___NotWork",=""
="1.age_cat",="0.0000"
="",="(.)"
="2.age_cat",="-0.4880"
="",="(0.2351)"
="3.age_cat",="-0.5315"
="",="(0.2703)"
="educ_hs",="-0.3772"
="",="(0.3408)"
="educ_somecoll",="-0.1828"
="",="(0.3470)"
="educ_college",="-0.3942"
="",="(0.3322)"
="race_black",="-0.0271"
="",="(0.2391)"
="race_hispanic",="0.3454"
="",="(0.2068)"
="inc_30_50",="0.0000"
="",="(.)"
="inc_50_75",="0.0000"
="",="(.)"
="inc_75plus",="0.0000"
="",="(.)"
="broadband_std",="0.1819"
="",="(0.1021)"
="yr_2",="-0.1890"
="",="(0.2414)"
="yr_3",="-0.1601"
="",="(0.3052)"
="yr_4",="-0.9028"
="",="(0.3334)"
="yr_5",="0.2376"
="",="(0.2222)"
="yr_6",="-0.3195"
="",="(0.2369)"
="_cons",="-4.6229"
="",="(0.3748)"
="Branch___Wage",=""
="1.age_cat",="0.0000"
="",="(.)"
="2.age_cat",="0.0000"
="",="(.)"
="3.age_cat",="0.0000"
="",="(.)"
="educ_hs",="0.0000"
="",="(.)"
="educ_somecoll",="0.0000"
="",="(.)"
="educ_college",="0.0000"
="",="(.)"
="race_black",="0.0000"
="",="(.)"
="race_hispanic",="0.0000"
="",="(.)"
="inc_30_50",="0.0000"
="",="(.)"
="inc_50_75",="0.0000"
="",="(.)"
="inc_75plus",="0.0000"
="",="(.)"
="broadband_std",="0.0000"
="",="(.)"
="yr_2",="0.0000"
="",="(.)"
="yr_3",="0.0000"
="",="(.)"
="yr_4",="0.0000"
="",="(.)"
="yr_5",="0.0000"
="",="(.)"
="yr_6",="0.0000"
="",="(.)"
="_cons",="0.0000"
="",="(.)"
="Branch___SE",=""
="1.age_cat",="0.0000"
="",="(.)"
="2.age_cat",="0.8930"
="",="(0.0784)"
="3.age_cat",="1.2564"
="",="(0.0718)"
="educ_hs",="-0.2041"
="",="(0.0765)"
="educ_somecoll",="-0.2993"
="",="(0.0909)"
="educ_college",="-0.2926"
="",="(0.0902)"
="race_black",="0.0183"
="",="(0.0896)"
="race_hispanic",="-0.1050"
="",="(0.0627)"
="inc_30_50",="0.0000"
="",="(.)"
="inc_50_75",="0.0000"
="",="(.)"
="inc_75plus",="0.0000"
="",="(.)"
="broadband_std",="0.1036"
="",="(0.0305)"
="yr_2",="0.0612"
