"label","subsample_size","subsample_id","K_effective_mean","K_effective_sd","prob_K_ge_4","cf_mean","cf_median","cf_sd","cf_ci_lower","cf_ci_upper","prob_negative","n_active_types"
"N10k_1",10000,1,3.7225358609492,0.718818446321959,0.895443039640757,-8.17651700281674,-7.92929591375742,2.9721162296731,-13.9952371142596,-2.87608998426103,0.998884172640297,3.7658741658439
"N10k_2",10000,2,3.87710613742497,0.728138531004826,0.759180060391331,-8.31929878618261,-8.61751906440712,2.51441155288825,-13.6958644557951,-3.25694542539215,0.988401090322664,3.86317069509701
"N10k_3",10000,3,3.63415559845479,0.797326353881892,0.734977894495336,-8.16783568196916,-8.08905852796316,3.04984391559861,-14.4602207979927,-2.17913585092028,0.98984553853151,3.67262728295606
"N10k_4",10000,4,3.99719909449204,0.830432978181703,0.682016143731475,-8.827349651039,-8.90151922196143,3.04363465049554,-14.908683393428,-2.4783102790868,0.997293789928967,3.96815803693122
"N10k_5",10000,5,3.65617410950001,0.75268024541805,0.766473240345869,-8.39310646066126,-8.29744317226078,3.0411232032691,-14.4209677971101,-2.29004205816785,0.992468493464868,3.73452791866936
"N10k_6",10000,6,3.54026081986088,0.772550052781318,0.77879946589373,-8.88202072771511,-8.63123296510786,2.5432325925079,-14.3043736882759,-3.69618401594711,0.979235556586448,3.5893337666225
"N10k_7",10000,7,3.71276352933214,0.646182038203475,0.764614414192248,-9.04107828910211,-9.08174603821959,3.00825474592656,-14.9594143203989,-3.46583502554678,0.989317397881234,3.62370214946105
"N10k_8",10000,8,3.62011984010693,0.956326698507059,0.846009123138981,-8.60844012219196,-8.59636060980083,2.38180666868162,-12.8368134875022,-4.35411203658828,0.990326228188124,3.63596678737774
"N10k_9",10000,9,3.7566761821047,0.813848404764538,0.855950005231986,-8.44185074593693,-8.30699078582484,3.05926252017732,-14.220261648055,-2.48336855831436,0.997164308279193,3.72828820996154
"N10k_10",10000,10,3.63272038599169,0.759869364812422,0.764244905196352,-8.54414314369807,-8.32063640991466,2.62382435285563,-13.4462143695355,-3.32787669095819,0.98842131756323,3.59450597434658
"N10k_11",10000,11,4.17077592571362,0.762948658642147,0.804444063104791,-8.25044178624547,-8.37927324717438,2.79411203990763,-14.4313670574467,-2.50850837264159,0.993740694890074,4.15705179971021
"N10k_12",10000,12,3.6863182921258,0.777982515337512,0.772158702250701,-8.92086582255859,-8.99572468682762,2.78664505864968,-14.2086203672452,-3.86474325939833,0.984306080296457,3.68265640549904
"N10k_13",10000,13,3.58892630036542,0.839859122336722,0.751800310948353,-8.26945119709459,-8.33998606593415,2.80929645430988,-13.9655358886499,-3.15982096517367,0.983405554797717,3.54125479926417
"N10k_14",10000,14,3.93550949848284,0.631186417289211,0.816993869609389,-8.42989207759772,-8.42113901688192,2.61507068619541,-13.505378106619,-3.21364430151059,0.993908285957975,3.9196972147869
"N10k_15",10000,15,3.81930983290997,0.827032487612801,0.803353243784527,-7.5407722176826,-7.68968034581559,2.41758006593722,-12.5682982634811,-2.48610677714175,0.990824606943497,3.79634040940539
"N10k_16",10000,16,3.89274182488289,0.824046691883207,0.773070238698752,-9.36176356084105,-9.28920585606879,2.88973491024515,-14.7244161603432,-3.77802012152323,0.99077921547922,3.96012753977586
"N10k_17",10000,17,4.01218966250096,0.837556353763002,0.820330727495166,-8.01147409484581,-8.03641979782068,2.46079005552989,-13.1349363193427,-3.38020813680796,0.995989747911378,4.04479966895612
"N10k_18",10000,18,4.10575441668827,0.879624991625548,0.717228295514494,-8.19018722522177,-8.30758731367361,2.5515551462683,-12.7945156684393,-2.95566736135794,0.988941030244328,4.15572942117081
"N10k_19",10000,19,3.88890532694428,0.887185841493125,0.809001728045861,-7.97225520255837,-8.23468715796559,2.44651209046899,-13.0886241137497,-3.27748505851822,0.995830753116542,3.85977270425607
"N10k_20",10000,20,3.81264940318052,1.00248088587366,0.853652095409037,-9.14267950227713,-8.90860954018377,3.27328522656165,-15.6441298473493,-2.99481054017667,0.991209655086217,3.74980704329587
"N25k_1",25000,1,3.84612821755401,0.896734158366424,0.820636518778175,-8.13164326878537,-8.08837445314968,2.71355093910234,-13.7028145428375,-2.35154006244788,0.992505224059023,3.8567402101981
"N25k_2",25000,2,3.73721192813851,0.639600534048135,0.76827871278915,-8.52659848610092,-8.20237325838582,2.78347536479158,-13.8047291951423,-3.1179237177424,0.987193950069173,3.6835382715411
"N25k_3",25000,3,3.82063743044262,0.752857925229978,0.762157519834575,-8.46528169853615,-8.72400355528807,2.64314991827102,-13.7219601478204,-2.61131222097908,0.986752627016767,3.67425790768438
"N25k_4",25000,4,3.79842624057657,0.852173112619096,0.752299274083439,-8.33843153493403,-8.3731595331394,2.7293568324643,-13.4247690290232,-2.90706640827298,0.980384019061074,3.80539063455776
"N25k_5",25000,5,3.769172308735,0.811814450844776,0.788716240314058,-8.33648212871646,-8.14719305526035,2.68335146340961,-13.5486507017082,-3.39298044545119,0.990782491431069,3.8600724114427
"N50k_1",50000,1,3.90649488149384,0.785760341856127,0.809620008491189,-8.50021244186466,-8.6172957667009,2.75177902824949,-13.7726987592696,-3.28369804547397,0.987847758899169,3.93635714591313
"N50k_2",50000,2,3.94529165483427,0.770269601746025,0.765581409834266,-8.44871787523493,-8.2184176777636,2.70307714183664,-13.4767468974562,-3.38091352698217,0.994121143209739,3.95231726022052
