outcome,K,cf_effect,gamma_weighted,bic
se,1,-.2932272097994818,-.0007357060318956,-78366.17637289254
se,2,1.790574605933961,.0037813332730249,-78724.20785224113
se,3,8.006136871744621,.0169073500993429,-80369.28247810851
se,4,10.7711281165487,.0227464552441112,-81953.82735700626
married,1,18.14323558411704,.218166647715084,106312.5007136089
married,2,22.02602514623826,.2229267762261537,106303.6209861089
married,3,22.28572409027721,.2255552054592799,106308.9638135531
married,4,22.2005526009151,.2246931794957293,106322.7845105457
has_children,1,-2.481025672343791,-.0218144216876348,97915.9722205076
has_children,2,-3.841912434444167,-.0284323262845963,97883.35573799652
has_children,3,.3680423884800339,.0027237219625337,97481.8047493718
has_children,4,-.8386886220017953,-.0062067704454027,97692.10441872632
