="Sample Characteristics by Survey Year"
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="2013",="",="",=""
="self_employed",="0.096",="0.295",="18086"
="mobile_user",="0.334",="0.471",="16987"
="banked",="0.932",="0.252",="18117"
="employed",="0.932",="0.252",="18117"
="age",="42.554",="11.760",="18117"
="college_degree",="0.403",="0.491",="18117"
="inc_above75k",="0.382",="0.486",="18117"
="metro",="1.000",="0.000",="18117"
="2015",="",="",=""
="self_employed",="0.098",="0.298",="15522"
="mobile_user",="0.443",="0.497",="14647"
="banked",="0.940",="0.238",="15539"
="employed",="0.954",="0.209",="15539"
="age",="42.425",="11.885",="15539"
="college_degree",="0.418",="0.493",="15539"
="inc_above75k",="0.415",="0.493",="15539"
="metro",="0.999",="0.034",="15539"
="2017",="",="",=""
="self_employed",="0.094",="0.292",="15059"
="mobile_user",="0.544",="0.498",="14351"
="banked",="0.948",="0.221",="15071"
="employed",="0.960",="0.196",="15071"
="age",="42.461",="11.944",="15071"
="college_degree",="0.446",="0.497",="15071"
="inc_above75k",="0.446",="0.497",="15071"
="metro",="1.000",="0.000",="15071"
="2019",="",="",=""
="self_employed",="0.091",="0.287",="13894"
="mobile_user",=".",=".",="0"
="banked",="0.959",="0.198",="13905"
="employed",="0.967",="0.178",="13905"
="age",="42.394",="12.006",="13905"
="college_degree",="0.471",="0.499",="13905"
="inc_above75k",="0.492",="0.500",="13905"
="metro",="1.000",="0.000",="13905"
="2021",="",="",=""
="self_employed",="0.099",="0.299",="12747"
="mobile_user",=".",=".",="0"
="banked",="0.969",="0.173",="12754"
="employed",="0.942",="0.233",="12754"
="age",="42.575",="11.938",="12754"
="college_degree",="0.490",="0.500",="12754"
="inc_above75k",="0.520",="0.500",="12754"
="metro",="1.000",="0.000",="12754"
="2023",="",="",=""
="self_employed",="0.101",="0.301",="12142"
="mobile_user",=".",=".",="0"
="banked",="0.967",="0.178",="12148"
="employed",="0.966",="0.181",="12148"
="age",="42.450",="11.909",="12148"
="college_degree",="0.497",="0.500",="12148"
="inc_above75k",="0.585",="0.493",="12148"
="metro",="1.000",="0.000",="12148"
="Total",="",="",=""
="self_employed",="0.097",="0.295",="87450"
="mobile_user",="0.442",="0.497",="45985"
="banked",="0.953",="0.212",="87534"
="employed",="0.954",="0.210",="87534"
="age",="42.476",="11.909",="87534"
="college_degree",="0.455",="0.498",="87534"
="inc_above75k",="0.475",="0.499",="87534"
="metro",="1.000",="0.014",="87534"
="N",="87534",="",=""
