="Baseline OLS: Self-Employment on Mobile Banking"

="",="(1)",="(2)",="(3)",="(4)"
="",="(1)",="(2)",="(3)",="(4)"

="mobile_user",="-0.0124***",="0.00485",="0.00313",="0.00304"
="",="(0.00367)",="(0.00349)",="(0.00367)",="(0.00371)"

="age",="",="0.00326**",="0.00304**",="0.00312**"
="",="",="(0.00131)",="(0.00129)",="(0.00131)"

="pct_broadband",="",="",="",="0"
="",="",="",="",="(.)"

="unemployment_rate",="",="",="",="0"
="",="",="",="",="(.)"

="Observations",="45944",="45944",="45944",="45466"
="R-squared",="0.000431",="0.0253",="0.0359",="0.0356"
="Adj. R-squared",="0.000409",="0.0249",="0.0291",="0.0289"

="Standard errors in parentheses"
="Standard errors clustered at CBSA level"
="All regressions weighted by survey weights"
="* p<0.10, ** p<0.05, *** p<0.01"
